No.[48],Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Bill Gates,$51.0 billion,43,United States,Microsoft
2,Walton family,$48.0 billion,_,United States,Wal-Mart
3,Warren Buffett,$33.0 billion,67,United States,Berkshire Hathaway
4,Paul Allen,$21.0 billion,45,United States,Microsoft
5,Kenneth Thomson,$14.4 billion,74,Canada,Woodbridge Co. Ltd.
6,Jay,$13.5 billion,_,United States,Hyatt
7,Forrest Mars Sr.,$13.5 billion,94,United States,"Mars, Inc."
8,Al-Waleed Bin Talal,$13.3 billion,41,Saudi Arabia,Kingdom Holding Company
9,Lee Shau-kee,$12.7 billion,70,Hong Kong,Henderson Land Development
10,Karl,$11.7 billion,78,Germany,Aldi
